Date,Description,Amount,Mode
2025-09-01,Zomato - Lunch,350,UPI
2025-09-03,Uber,220,Card
2025-09-04,Rent,10000,Bank Transfer
2025-09-06,Amazon,999,Credit Card
2025-09-08,Starbucks Coffee,280,UPI
2025-09-10,Metro Card Recharge,500,UPI
2025-09-12,BigBasket Grocery,1850,Debit Card
2025-09-14,Netflix Subscription,199,Credit Card
2025-09-15,Swiggy Dinner,450,UPI
2025-09-17,Ola Cab,180,UPI
2025-09-18,Myntra Shopping,2499,Credit Card
2025-09-20,Electricity Bill,1200,Net Banking
2025-09-22,Apollo Pharmacy,350,Cash
2025-09-23,PVR Cinema Tickets,600,Card
2025-09-25,Dominos Pizza,599,UPI
2025-09-27,Petrol,1500,Cash
2025-09-28,Flipkart Electronics,3999,Credit Card
2025-09-30,Gym Membership,1000,UPI
2025-10-01,Zomato Breakfast,180,UPI
2025-10-02,Uber to Office,140,Card
2025-10-03,Amazon Books,799,Credit Card
2025-10-05,Cafe Coffee Day,220,UPI
2025-10-07,Rapido,80,UPI
2025-10-08,D-Mart Grocery,1200,Debit Card
2025-10-10,Spotify Premium,119,Credit Card
2025-10-12,Swiggy Lunch,320,UPI
2025-10-14,Metro,50,Cash
2025-10-15,Ajio Fashion,1899,Credit Card
2025-10-16,Water Bill,400,Net Banking
2025-10-18,Medical Store,280,Cash
2025-10-20,Multiplex Movie,800,Card
2025-10-22,KFC Meal,499,UPI
2025-10-23,Diesel,2000,Cash
2025-10-24,Meesho Shopping,599,UPI
2025-10-25,Yoga Class,800,UPI
